director_id,movie_id,person_id
1627,1495,7781
1628,1496,15905
1629,1497,6972
16,1498,9137
1631,1499,17853
1632,15,-
1633,1501,-
1634,1502,18972
1635,1503,2642
1636,1504,-
1637,1505,-
1638,1506,-
1639,1507,6336
16,1507,17539
1641,1508,12319
1642,1509,8578
1643,15,-
1644,1511,7518
1645,1512,20725
1646,1513,7943
1647,1514,16002
1648,1515,-
1649,1516,-
16,1517,-
1651,1518,-
1652,1519,5271
1653,1519,17218
1654,15,5374
1655,15,3307
1656,15,3508
1657,1521,-
1658,1522,-
1659,1523,6158
16,1524,-
1661,1525,73
1662,1526,-
1663,1527,11364
1664,1528,-
1665,1529,-
1666,15,-
1667,1531,7985
1668,1532,11214
1669,1533,-
16,1534,16904
1671,1535,2672
1672,1536,-
1673,1537,7501
1674,1537,14488
1675,1538,-
1676,1539,-
1677,15,10459
1678,1541,-
1679,1542,-
16,1543,12126
1681,1544,4923
1682,1545,2837
1683,1546,182
1684,1547,835
1685,1548,18678
1686,1549,-
1687,15,31
1688,1551,-
1689,1552,2245
16,1553,20116
1691,1554,16681
1692,1555,-
1693,1556,117
1694,1557,1548
1695,1558,-
1696,1559,-
1697,15,11612
1698,1561,16989
1699,1561,6531
17,1562,-
1701,1563,-
1702,1564,-
1703,1565,69
1704,1566,15057
1705,1567,-
1706,1568,1896
1707,1569,-
1708,15,-
1709,1571,6366
17,1572,-
1711,1573,10791
1712,1574,2634
1713,1575,5492
1714,1576,164
1715,1577,2837
1716,1578,10267
1717,1579,-
1718,15,7069
1719,1581,216
17,1582,20329
1721,1583,14452
1722,1584,-
1723,1585,-
1724,1586,18631
1725,1587,14896
1726,1588,7223
1727,1589,-
1728,15,-
1729,1591,3701
17,1592,-
1731,1593,17164
1732,1594,9997
1733,1595,8294
1734,1596,-
1735,1597,14701
1736,1598,381
1737,1598,16981
1738,1599,7321
1739,16,2146
17,1601,-
1741,1602,-
1742,1603,-
1743,1604,8168
1744,1605,4044
1745,1606,-
1746,1607,-
1747,1608,4084
1748,1609,8951
1749,16,160
